collect.....= UnicornPy_2020.05.30.0
device......= UN-2021.05.36
samplerate..= 250.000
channels....= 16
date........= 2022-07-25T14:07:23.241906
filename....= recordeddata_thread
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
-128.299,-132.591,-120.610,-123.918,-128.210,-113.815,-120.342,-120.074,-0.012,0.893,-0.431,-0.549,0.458,0.580,73.333,52.000
-127.316,-131.696,-119.716,-123.203,-127.316,-113.279,-119.716,-119.269,-0.011,0.894,-0.428,-0.519,0.458,0.580,73.333,53.000
-126.690,-131.071,-119.180,-122.577,-126.511,-112.563,-119.001,-118.822,-0.010,0.894,-0.427,-0.580,0.427,0.488,73.333,54.000
-126.243,-130.266,-118.822,-122.041,-125.706,-111.938,-118.643,-118.017,-0.011,0.895,-0.426,-0.671,0.427,0.519,73.333,55.000
-125.617,-129.819,-118.107,-121.415,-125.080,-111.669,-118.375,-117.302,-0.009,0.893,-0.427,-0.763,0.397,0.610,73.333,56.000
-124.902,-129.283,-117.570,-120.789,-124.544,-110.954,-117.481,-116.855,-0.011,0.892,-0.424,-0.702,0.488,0.580,73.333,57.000
-124.276,-128.388,-117.213,-120.521,-124.007,-110.507,-116.855,-116.229,-0.011,0.894,-0.427,-0.702,0.397,0.488,73.333,58.000
-123.918,-127.941,-116.587,-120.074,-123.739,-110.149,-116.766,-115.782,-0.010,0.894,-0.427,-0.641,0.397,0.458,73.333,59.000
-123.471,-127.405,-116.140,-119.537,-123.024,-109.792,-116.318,-115.246,-0.010,0.894,-0.428,-0.671,0.458,0.610,73.333,60.000
-122.935,-126.779,-115.782,-118.911,-122.398,-109.345,-115.871,-114.888,-0.011,0.895,-0.426,-0.519,0.488,0.580,73.333,61.000
-122.219,-126.421,-115.156,-118.375,-121.951,-109.166,-115.514,-114.709,-0.012,0.894,-0.429,-0.671,0.366,0.549,73.333,62.000
-121.951,-125.796,-114.888,-118.107,-121.325,-108.540,-114.977,-114.173,-0.012,0.895,-0.425,-0.641,0.366,0.427,73.333,63.000
-121.772,-125.259,-114.352,-117.660,-121.057,-108.004,-114.620,-113.457,-0.010,0.893,-0.427,-0.702,0.366,0.427,73.333,64.000
-121.057,-124.812,-113.994,-117.570,-120.878,-107.735,-114.173,-113.189,-0.009,0.894,-0.425,-0.763,0.549,0.427,73.333,65.000
-120.610,-124.365,-113.904,-116.855,-120.342,-107.378,-114.083,-112.742,-0.010,0.894,-0.425,-0.763,0.458,0.519,73.333,66.000
-120.163,-124.097,-113.457,-116.408,-119.984,-107.199,-113.457,-112.563,-0.009,0.893,-0.428,-0.824,0.458,0.488,73.333,67.000
-119.895,-123.829,-113.189,-116.229,-119.895,-106.931,-113.189,-112.027,-0.011,0.894,-0.426,-0.763,0.458,0.580,73.333,68.000
-119.448,-123.292,-112.921,-115.961,-119.448,-106.752,-112.742,-111.848,-0.012,0.897,-0.426,-0.702,0.458,0.519,73.333,69.000
-119.001,-122.935,-112.563,-115.603,-119.001,-106.126,-112.563,-111.401,-0.012,0.893,-0.424,-0.671,0.488,0.549,73.333,70.000
-118.911,-122.398,-112.116,-115.246,-118.822,-106.037,-112.295,-111.222,-0.011,0.892,-0.426,-0.732,0.458,0.549,73.333,71.000
-118.822,-122.130,-111.759,-114.977,-118.375,-105.947,-111.759,-111.222,-0.012,0.894,-0.426,-0.641,0.458,0.488,73.333,72.000
-118.375,-121.862,-111.401,-114.620,-118.017,-105.590,-111.669,-110.775,-0.011,0.895,-0.429,-0.702,0.427,0.488,73.333,73.000
-118.196,-121.593,-111.222,-114.352,-117.749,-105.321,-111.222,-110.775,-0.012,0.894,-0.427,-0.671,0.336,0.519,73.333,74.000
-118.017,-121.415,-111.222,-114.173,-117.660,-104.964,-111.043,-110.507,-0.012,0.894,-0.427,-0.702,0.366,0.549,73.333,75.000
-117.660,-120.968,-110.954,-113.994,-117.302,-104.785,-110.865,-110.328,-0.012,0.892,-0.427,-0.671,0.397,0.610,73.333,76.000
-117.302,-121.057,-110.865,-113.904,-117.213,-104.606,-110.775,-109.881,-0.011,0.894,-0.426,-0.610,0.458,0.519,73.333,77.000
-117.034,-120.789,-110.596,-113.457,-116.855,-104.338,-110.775,-109.613,-0.011,0.894,-0.428,-0.580,0.427,0.580,73.333,78.000
-116.855,-120.431,-110.507,-113.279,-116.766,-104.070,-110.418,-109.345,-0.011,0.892,-0.429,-0.580,0.366,0.580,73.333,79.000
-116.766,-119.984,-110.060,-113.189,-116.229,-103.802,-110.149,-109.077,-0.012,0.893,-0.425,-0.549,0.366,0.519,73.333,80.000
-116.408,-119.805,-109.881,-113.279,-116.140,-103.891,-109.881,-109.077,-0.013,0.894,-0.426,-0.763,0.366,0.549,73.333,81.000
-116.140,-119.716,-109.613,-113.010,-116.140,-103.802,-109.702,-108.808,-0.012,0.893,-0.425,-0.732,0.366,0.549,73.333,82.000
-116.140,-119.448,-109.613,-112.653,-116.229,-103.444,-109.345,-108.361,-0.011,0.893,-0.425,-0.824,0.427,0.519,73.333,83.000
-115.961,-119.448,-109.345,-112.385,-115.871,-103.354,-109.166,-108.451,-0.011,0.893,-0.426,-0.793,0.427,0.519,73.333,84.000
-115.693,-119.269,-109.255,-112.385,-115.424,-103.176,-109.077,-108.361,-0.011,0.894,-0.428,-0.854,0.397,0.671,73.333,85.000
-115.693,-119.001,-109.077,-112.116,-115.246,-103.176,-109.255,-108.451,-0.012,0.894,-0.428,-0.763,0.458,0.580,73.333,86.000
-115.424,-118.732,-108.808,-111.938,-115.067,-102.907,-108.987,-107.914,-0.013,0.893,-0.425,-0.763,0.458,0.488,73.333,87.000
-115.246,-118.643,-108.808,-112.027,-114.977,-102.818,-108.808,-107.825,-0.012,0.894,-0.421,-0.671,0.336,0.519,73.333,88.000
-114.977,-118.554,-108.719,-111.759,-114.799,-102.729,-108.808,-108.004,-0.011,0.895,-0.423,-0.763,0.366,0.458,73.333,89.000
-114.799,-118.196,-108.540,-111.401,-114.620,-102.460,-108.719,-107.825,-0.011,0.893,-0.423,-0.671,0.336,0.427,73.333,90.000
-114.799,-118.196,-108.540,-111.312,-114.352,-102.282,-108.719,-107.467,-0.010,0.894,-0.427,-0.763,0.519,0.488,73.333,91.000
-114.620,-118.196,-108.361,-111.401,-114.173,-102.282,-108.540,-107.557,-0.011,0.894,-0.427,-0.763,0.458,0.519,73.333,92.000
-114.620,-118.017,-108.272,-111.222,-114.352,-102.282,-108.272,-107.646,-0.012,0.894,-0.427,-0.732,0.397,0.458,73.333,93.000
-114.262,-117.749,-108.361,-110.954,-114.530,-102.192,-108.093,-107.467,-0.013,0.895,-0.424,-0.641,0.366,0.519,73.333,94.000
-114.352,-117.749,-107.914,-111.133,-114.173,-101.835,-108.093,-107.020,-0.013,0.894,-0.422,-0.702,0.336,0.488,73.333,95.000
-114.173,-117.660,-107.914,-111.043,-113.904,-101.656,-107.825,-107.020,-0.011,0.894,-0.425,-0.732,0.305,0.458,73.333,96.000
-114.083,-117.481,-107.825,-110.775,-113.815,-101.656,-107.735,-106.931,-0.010,0.894,-0.425,-0.610,0.397,0.549,73.333,97.000
-114.083,-117.302,-107.825,-110.775,-113.994,-101.924,-107.825,-106.752,-0.012,0.894,-0.429,-0.580,0.488,0.580,73.333,98.000
-113.904,-117.213,-107.735,-110.775,-113.904,-101.745,-107.646,-106.841,-0.010,0.895,-0.431,-0.641,0.397,0.488,73.333,99.000
-113.815,-117.213,-107.735,-110.418,-113.726,-101.835,-107.557,-106.931,-0.012,0.894,-0.426,-0.702,0.336,0.580,73.333,100.000
